Row_Labels,Count_AnimalName
1,1
2,2
40804,1
90201,1
90203,1
102201,1
3010271,1
MARCH,2
APRIL,51
AUGUST,14
DECEMBER,4
SUNDAY,13
MONDAY,4
FRIDAY,19
JAN,1
JUN,1
JANUARY,1
JUNE,24
JULY,9
MON,2
MAY,13
NOVEMBER,1
TUESDAY,7
SEPTEMBER,2
WEDNESDAY,10
SUN,5
&QUOT;G&QUOT;,1
(LEELA)LILA,1
166Y,1
2CHAINZ,1
2J,1
A,1
A.,2
A.J,2
A.J.,3
AALIYAH,7
AALSKA,1
AARAV,1
AARON,7
AARYN,1
ABACA,1
ABAGAIL,1
ABBA,1
ABBEY,28
ABBEYROAD,1
ABBI,2
ABBIE,18
AB-BINGO,1
ABBOTT,6
ABBY,148
ABE,8
ABECROMBIE,1
ABEJA,1
ABEL,2
ABERCROMBIE,1
ABHAYA,2
ABI,3
ABIGAIL,35
ABIGALE,1
ABIGIAL,1
ABILENE,1
ABILGAIL,1
ABITA,1
ABLE,1
ABNER,3
ABRAHAM,6
ABREE,1
ABRIK,1
ABRIL,2
ABSOLUT,1
ABU,2
ABUELA,1
ABUJA,1
ABUR,1
ACCEL,1
ACCIDENTALLY,1
ACCURA,1
ACE,128
ACE-DAVE,2
ACER,2
ACHAK,1
ACHILES,2
ACHILLES,35
ACHILLIES,4
ACHOO,1
ACKERMAN,1
ACKLEY,2
ADA,7
ADAGIO,1
ADAH,1
ADALYN,2
ADAM,10
ADAMA,1
ADAR,1
ADDER,1
ADDEY,1
ADDIE,18
ADDISON,9
ADDY,6
ADE,1
ADELA,1
ADELAIDE,10
ADELE,3
ADELIA,1
ADELINA,1
ADELINE,5
ADELLA,1
ADELLE,2
ADELLINE,1
ADGER,2
ADI,2
ADIDAS,3
ADIDI,1
ADINA,3
ADMIRAL,3
ADOLF,1
ADOLFO,1
ADONIS,7
ADORA,2
ADORABLE,2
ADORABLES,1
ADORE,1
ADRIAN,6
ADRIANA,1
ADRIANE,1
ADRIENNE,2
ADU,1
ADULIO,1
AEGE,1
AEGEAN,1
AEKI,1
AENGUS,1
AERIE,1
AERO,1
AERYS,1
AESOP,1
AFRICA,1
AGAPE,1
AGASHA,1
AGATE,1
AGATH,1
AGATHA,8
AGATHOR,1
AGENT,7
AGGIE,14
AGLAIA,1
AGNES,20
AGNUS,1
AGRO,1
AGUA,1
AGUILES,1
AGUSTINA,2
AH1232,2
AHAVA,1
AHIL,1
AHIMSA,1
AHJI,2
AHSOKA,1
AICHAN,1
AIDAN,6
AIDEN,7
AIK,1
AIKA,3
AIKO,5
AILSA,2
AIMEE,3
AINE,3
AINM,1
AINSLEY,1
AINSWORTH,1
AIRBORNE,1
AIRES,3
AIRLIA,1
AISHA,2
AIYANA,3
AJ,27
AJA,5
AJAX,20
AJAXX,1
AJAY,3
A-JAY,1
AJI,1
AKAMARO,1
AKAMARU,1
AKASHA,3
AKEELA,1
AKEELAH,1
AKEILLES,1
AKELA,2
AKELLA,1
AKEMI,1
AKHILLES,1
AKI,2
AKIAK,1
AKIBA,3
AKIERO,1
AKILA,2
AKIMA,2
AKIMI,2
AKINA,1
AKINO,1
AKIO,1
AKIRA,11
AKIRO,1
AKITA,1
AKULINA,2
AKUMA,2
AKYLEEZ,1
AL,4
AL_BINA,1
ALABAMA,10
ALACA,1
ALADAR,1
ALADDIN,1
ALAIN,1
ALAN,4
ALANA,1
ALANIS,1
ALANNA,1
ALARIC,2
ALASHA,1
ALASKA,2
ALASTAIR,4
ALAYAH,1
ALBA,1
ALBAN,1
ALBANY,2
ALBATROSS,1
ALBEE,3
ALBERT,20
ALBERTO,1
ALBIE,11
ALBUCA,1
ALBUS,5
ALBY,1
ALDI,1
ALDO,6
ALEC,3
ALEE,1
ALEECIE,1
ALEEYA,1
ALEGRIA,2
ALEJANDRO,5
ALEJO,1
ALEPH,1
ALESANA,1
ALESSANDRA,1
ALESSIA,1
ALEX,54
ALEXA,2
ALEXANDER,18
ALEXANDRA,3
ALEXANDRA-SOPHIA,1
ALEXAROSE,1
ALEXI,1
ALEXIE,1
ALEXIS,3
ALEXUS,1
ALEXXA,1
ALF,1
ALFA,4
ALFALFA,4
ALFI,1
ALFIE,60
ALFONSE,1
ALFONSO,3
ALFRED,8
ALFREDO,3
ALGONQUIN,1
ALGY,1
ALI,19
ALIBI,2
ALICE,37
ALICIA,7
ALIE,1
ALIRAHMAN,1
ALISA,2
ALISON,2
ALISTAIR,3
ALISTER,1
ALITI,2
